TIME,a,b,c,d,e,f,g,h,i,j,k,l,m,o,Prediction_TimeSeriesTransformer
01/31/2019 06:50:00,-1.3358925115328846,0.0,-1.2256338838312857,-2.486484174742209,-0.09686154800355916,-1.4969051407366611,-1.315535604753454,0.8193567055071166,-1.3801470061595704,-1.272820344033351,-1.2715923769424748,-1.1913530274669177,-2.4614173367514756,0,0.0
01/31/2019 07:00:00,-1.3358925115328846,0.0,-1.2105640830370334,-2.4876996006494907,-0.45946541855243483,-1.4969051407366611,-1.314311080600052,0.8193567055071166,-1.3801470061595704,-1.2732945791951127,-1.270642417609787,-1.1913530274669177,-2.462775666433928,0,0.0
01/31/2019 07:10:00,-1.3271606366882625,0.0,-1.2105640830370334,-2.477978524025766,0.05496534108941827,-1.4969051407366611,-1.2898193134589977,0.8193567055071166,-1.3801470061595704,-1.2661887859846959,-1.2639887510880368,-1.1722015328745423,-2.451916271125541,0,0.0
01/31/2019 07:20:00,-1.3358925115328846,0.0,-1.2105640830370334,-2.4852699141521923,-0.49915023834241307,-1.4801592919820643,-1.3424765807104397,0.8193567055071166,-1.362065554270564,-1.2780313962361363,-1.275394492438522,-1.1913530274669177,-2.4600604749912747,0,0.0
01/31/2019 07:30:00,-1.3358925115328846,0.0,-1.2105640830370334,-2.477978524025766,-0.5116754722188026,-1.4969051407366611,-1.2983914640601923,0.7320347796784816,-1.362065554270564,-1.2732945791951127,-1.2715923769424748,-1.1722015328745423,-2.451916271125541,0,0.0
01/31/2019 07:40:00,-1.3358925115328846,0.0,-1.2105640830370334,-2.4791939499330478,0.2877025951059808,-1.4801592919820643,-1.2714504881032065,0.7320347796784816,-1.3801470061595704,-1.2742419496989283,-1.269691888735775,-1.1722015328745423,-2.453273441581131,0,0.0
01/31/2019 07:50:00,-1.3358925115328846,0.0,-1.2105640830370334,-2.4840544882449107,-0.3773669292884539,-1.4969051407366611,-1.3388039713050184,0.7320347796784816,-1.3801470061595704,-1.2652414154808802,-1.2630382222140248,-1.1913530274669177,-2.4587024767514642,0,0.0
01/31/2019 08:00:00,-1.3358925115328846,0.0,-1.2105640830370334,-2.486484174742209,-0.02291519393377728,-1.4969051407366611,-1.2653275463179414,0.7320347796784816,-1.3801470061595704,-1.264294612625945,-1.262087159395021,-1.1913530274669177,-2.4614173367514756,0,0.0
01/31/2019 08:10:00,-1.3358925115328846,0.0,-1.2105640830370334,-2.481624024869435,-0.035319697226668195,-1.4969051407366611,-1.2702258034406748,0.7320347796784816,-1.3801470061595704,-1.2609787981235623,-1.2582850438989734,-1.1722015328745423,-2.455987411212119,0,0.0
01/31/2019 08:20:00,-1.3279536683399265,0.0,-1.2256338838312857,-2.482839062337628,0.2316015188489954,-1.4969051407366611,-1.2494079297780818,0.7320347796784816,-1.3801470061595704,-1.282768248755215,-1.2810976300862604,-1.1913530274669177,-2.4573446442214415,0,0.0
01/31/2019 08:30:00,-1.3184280005332552,0.0,-1.2105640830370334,-2.4889146381176843,0.24396314585990816,-1.4969051407366611,-1.3008405123669942,0.7101978596064411,-1.3801470061595704,-1.2647682801388251,-1.2630382222140248,-1.1913530274669177,-2.464133727818917,0,0.0
01/31/2019 08:40:00,-1.310490718026588,0.0,-1.2105640830370334,-2.4925597505222656,0.061912427095046026,-1.4969051407366611,-1.2714504881032065,0.7101978596064411,-1.3801470061595704,-1.2718729735295353,-1.268740825916772,-1.1913530274669177,-2.4682089072966913,0,0.0
01/31/2019 08:50:00,-0.7246610440162263,0.0,-0.8184909960727067,-2.08673024424202,1.482698141788894,-1.279167469907954,-0.5464946301535403,0.7101978596064411,-1.2354652431342266,-0.6286118428099455,-0.6261861547913361,-0.7890090057664341,-2.0233159554261255,0,0.0
01/31/2019 09:00:00,-0.3007685855377189,0.0,-0.2748684276889132,-1.6979120393946607,1.3584872453480452,-0.8433599234115378,0.07069748447730817,0.7101978596064411,-0.8373562666707598,-0.2989278299114775,-0.29350361182312396,-0.3287671204273004,-1.6125673421762992,1,0.0
01/31/2019 09:10:00,-0.05310108299068713,0.0,-0.15394330744044388,-1.4743420377343355,-0.03983073342131854,-0.5413836874775223,-0.1583004098842532,0.7101978596064411,-0.47514147833830517,0.19086055639993393,0.18936398828494727,-0.1368686444179104,-1.3826459061066418,1,1.0
01/31/2019 09:20:00,-0.04436920814606499,0.0,-0.13882639869404648,-1.4342446359666823,0.44471159062292137,-0.44067889102905355,-0.12033823501926874,0.7101978596064411,-0.3845405288751492,0.17854371098673189,0.1827102861668644,-0.0792840524323167,-1.3418659664850694,1,1.0
01/31/2019 09:30:00,-0.05310108299068713,0.0,-0.15394330744044388,-1.4378897483712634,-0.09894471473051797,-0.42389216923753736,-0.18891511881057033,0.7101978596064411,-0.36641901743015903,0.17333372312559922,0.17700608062914155,-0.06008846561373888,-1.345567512105112,1,1.0
01/31/2019 09:40:00,-0.12216221265457544,0.0,-0.12370606993238406,-1.4694814994224727,-0.3565344157764602,-0.4071054474460211,-0.44240590387709816,0.7101978596064411,-0.33017406727631005,0.11933491709613443,0.1209251262367679,-0.040890710325017184,-1.3776953765125814,0,1.0
01/31/2019 09:50:00,-0.04357617649440104,0.0,-0.12370606993238406,-1.4378897483712634,0.8642430341803021,-0.4071054474460211,-0.3052510127305827,0.7101978596064411,-0.33017406727631005,0.18707001004302043,0.18841345941093543,-0.0792840524323167,-1.345567512105112,0,1.0
01/31/2019 10:00:00,0.13423716473707847,0.0,-0.0783453042935547,-1.3576957217141334,3.6927814842469866,-0.3735281839529915,0.2947969612070064,0.7101978596064411,-0.3120504909057511,0.3514385973257577,0.3557057937140446,-0.040890710325017184,-1.2643888025364074,1,1.0
01/31/2019 10:10:00,0.9463000153546628,0.0,0.5573658085646891,-0.7210056005253128,0.5541936379577251,0.0464039439457366,0.7736106235927199,0.7101978596064411,0.041514186568458566,0.6195443434714658,0.6190011171363652,0.5546092109373533,-0.6379290898825056,1,1.0
01/31/2019 10:20:00,1.0153611450185511,0.0,0.6634365889803577,-0.6383814989317964,0.9870680676381416,0.24812040294538884,0.6462522466916714,0.7101978596064411,0.25922369418062213,0.6266479370424695,0.6247042547841035,0.650726071683957,-0.5588407715845997,1,1.0
01/31/2019 10:30:00,1.2130188662035433,0.0,0.9363388028790108,-0.36256410926096994,-2.4774692234719944,0.5172245307709544,0.8960692987888655,0.7101978596064411,0.5133525693261227,0.653649504218559,0.6503684275934272,0.9584377672964534,-0.29823466202839516,1,1.0
01/31/2019 10:40:00,1.23921523935929,0.0,0.8756758960543167,-0.40023027077497114,-0.24516722243809697,0.5340481783590637,1.017302326267699,0.7101978596064411,0.5496669009789907,0.7166477446463644,0.713103048507553,0.9007252355725317,-0.3335214060346081,1,1.0
01/31/2019 10:50:00,1.2471533085533553,0.0,0.906007349466667,-0.3820043203129787,-0.31864024492117954,0.567699293445276,1.0466936346045288,0.7101978596064411,0.5678281966565604,0.7095430512556552,0.7064493819858008,0.9199627461471723,-0.3164350940994757,1,1.0
01/31/2019 11:00:00,1.2217515150470584,0.0,0.8756758960543167,-0.4123806454569065,-0.33278377636190026,0.550873735902168,1.1042493194878338,0.7101978596064411,0.5678281966565604,0.6929646883048418,0.6893399334462531,0.9007252355725317,-0.34492428634783023,1,1.0
01/31/2019 11:10:00,1.2066684209990968,0.0,0.8908399127528593,-0.39415508343400274,-0.7084812736043464,0.550873735902168,0.866679274525078,0.7101978596064411,0.5678281966565604,0.6972283700038114,0.6912398877079595,0.9199627461471723,-0.32782364352638926,1,1.0
01/31/2019 11:20:00,1.2130188662035433,0.0,0.8756758960543167,-0.42088629617335094,-0.007505965931926098,0.550873735902168,0.9254581994887432,0.7101978596064411,0.5678281966565604,0.6887009711278173,0.6864872789342331,0.8814900380327066,-0.35291251375079685,1,1.0
01/31/2019 11:30:00,1.2042870040474292,0.0,0.8756758960543167,-0.4221013336415446,-0.111435534749001,0.550873735902168,0.9548495078255705,0.7975283702549185,0.5678281966565604,0.6612273684293792,0.6570209906288621,0.9007252355725317,-0.35405403063038254,1,1.0
01/31/2019 11:40:00,1.1876178466961382,0.0,0.8756758960543167,-0.41967203558333327,-0.22340525268163386,0.550873735902168,0.8997431922673267,0.7975283702549185,0.5496669009789907,0.6356484712605176,0.6342095079278912,0.9007252355725317,-0.35177182510690236,1,1.0
01/31/2019 11:50:00,1.2042870040474292,0.0,0.8756758960543167,-0.42574644604612427,0.04727807505786289,0.550873735902168,0.9438283089175741,0.7975283702549185,0.5678281966565604,0.6555420810648322,0.6494167952331001,0.8814900380327066,-0.35747917228381926,1,1.0
01/31/2019 12:00:00,1.1876178466961382,0.0,0.8756758960543167,-0.41359607136418886,-0.5773921188736989,0.550873735902168,0.827492414997564,0.7975283702549185,0.5678281966565604,0.6659641854704028,0.658923151863203,0.9007252355725317,-0.34606547924138953,1,1.0
01/31/2019 12:10:00,1.188411652346695,0.0,0.8908399127528593,-0.42088629617335094,0.18505592977898158,0.550873735902168,0.8519841821386182,0.7975283702549185,0.5678281966565604,0.6564905159103006,0.651318956467439,0.9007252355725317,-0.35291251375079685,1,1.0
01/31/2019 12:20:00,1.2130188662035433,0.0,0.8756758960543167,-0.41967203558333327,-0.054309941017096575,0.550873735902168,0.9242349594083831,0.7975283702549185,0.5678281966565604,0.6484373876741231,0.6418137033236533,0.8814900380327066,-0.35177182510690236,1,1.0
01/31/2019 12:30:00,1.2042870040474292,0.0,0.8605118793557742,-0.4184569981151396,0.7001064209440816,0.550873735902168,0.9891379497212236,0.7975283702549185,0.5678281966565604,0.6711752376731881,0.6655768183849532,0.9007252355725317,-0.3506305050588454,1,1.0
01/31/2019 12:40:00,1.2130188662035433,0.0,0.8756758960543167,-0.4026611225895345,0.5047640547622656,0.5340481783590637,0.9560729084150625,0.6447042690300043,0.5678281966565604,0.6815962777371061,0.6779325546644592,0.9007252355725317,-0.3358019259559394,1,1.0
