TIME,a,b,c,d,e,f,g,h,i,j,k,l,m,o,Prediction_RNNTransformer
07/14/2020 14:50:00,-1.5772087821880698,0.0,-0.5769876113170844,-1.3346100098184557,0.24015843999488268,-1.580619232200022,-3.3116131821672687,-0.42508160918408017,-1.3530372867103075,-1.6626621178387102,-1.659406448915364,-1.0189610968943466,-1.2411185807694918,1,1.0
07/14/2020 15:00:00,-1.5938791068819511,0.0,-0.6222843895736139,-1.3734915972397386,0.1600999590950645,-1.580619232200022,-3.383864440964424,-0.33775396014221687,-1.3530372867103075,-1.6891878178625062,-1.6869722134177034,-1.0572772414646197,-1.2803362795442108,1,1.0
07/14/2020 15:10:00,-1.534343645024734,0.0,-0.5769876113170844,-1.3066633711718265,0.23417550617241667,-1.580619232200022,-3.277324740271618,-0.33775396014221687,-1.3530372867103075,-1.6432411112056233,-1.6403964765727828,-0.999802952326872,-1.21300713862355,1,1.0
07/14/2020 15:20:00,-1.5597454385310314,0.0,-0.6071843602573712,-1.3321795464429804,0.34204771836697695,-1.5638772033554151,-3.271202440522875,-0.33775396014221687,-1.3530372867103075,-1.6370832206698487,-1.635643333854065,-1.038119241461821,-1.2386712437783887,1,1.0
07/14/2020 15:30:00,-1.5605388635263944,0.0,-0.6222843895736139,-1.3297498599456812,0.7420208073975502,-1.5638772033554151,-3.315287557173121,-0.33775396014221687,-1.3530372867103075,-1.6422932085309823,-1.639445947698771,-1.038119241461821,-1.2362251738040837,1,1.0
07/14/2020 15:40:00,-1.583559240081024,0.0,-0.6071843602573712,-1.3309652858529635,0.2750741196558397,-1.5638772033554151,-3.3446777419460396,-0.33775396014221687,-1.3530372867103075,-1.674503663748499,-1.6717632530848536,-1.0189610968943466,-1.2374487348133238,1,1.0
07/14/2020 15:50:00,-1.5430755071808497,0.0,-0.6373811091976642,-1.3115239094836892,0.31765985841942296,-1.5638772033554151,-3.2956935656274093,-0.33775396014221687,-1.3530372867103075,-1.6408727026851115,-1.638494884879768,-1.0189610968943466,-1.217891750019852,1,1.0
07/14/2020 16:00:00,-1.5772087821880698,0.0,-0.6071843602573712,-1.3346100098184557,0.30460967216945034,-1.5638772033554151,-3.303041031566074,-0.3814192154664556,-1.3530372867103075,-1.6730831579026282,-1.6698627648781548,-1.038119241461821,-1.2411185807694918,1,1.0
07/14/2020 16:10:00,-1.602610969038066,0.0,-0.6222843895736139,-1.3528359602804476,-0.22350849425538538,-1.5638772033554151,-3.3936611157190195,-0.3814192154664556,-1.3530372867103075,-1.6853983713252982,-1.683169563976664,-1.0189610968943466,-1.259486549605577,1,1.0
07/14/2020 16:20:00,-1.5684773006871473,0.0,-0.6071843602573712,-1.3273190081311177,-0.17338160731597646,-1.5638772033554151,-3.37774085714264,-0.3814192154664556,-1.3530372867103075,-1.6441879495386138,-1.6422970003758153,-0.999802952326872,-1.2337784153828855,1,1.0
07/14/2020 16:30:00,-1.6113424505389893,0.0,-0.6222843895736139,-1.3686314473669638,-0.10531494549489302,-1.5638772033554151,-3.3924359495290988,-0.3814192154664556,-1.334955834821297,-1.6820825923009708,-1.6793674484806165,-1.038119241461821,-1.2754272839243868,1,1.0
07/14/2020 16:40:00,-1.585940657032692,0.0,-0.6222843895736139,-1.3613416109968912,-0.04389382530150066,-1.5638772033554151,-3.3593726738233687,-0.3814192154664556,-1.3530372867103075,-1.648451099066757,-1.6470501786908667,-1.0572772414646197,-1.268067850630825,1,1.0
07/14/2020 16:50:00,-1.5772087821880698,0.0,-0.5920876406333209,-1.3419002346276172,-0.23201379461438887,-1.5638772033554151,-3.402233266320215,-0.3814192154664556,-1.3530372867103075,-1.6754510342523146,-1.6727137819588653,-1.0189610968943466,-1.2484623302722149,1,1.0
07/14/2020 17:00:00,-1.585940657032692,0.0,-0.6071843602573712,-1.346760384500391,-0.17285665494239336,-1.5638772033554151,-3.402233266320215,-0.3814192154664556,-1.3530372867103075,-1.6612405121731328,-1.6575059251123325,-1.038119241461821,-1.2533605926812035,1,1.0
07/14/2020 17:10:00,-1.5772087821880698,0.0,-0.5920876406333209,-1.3419002346276172,-0.2669551436283949,-1.5638772033554151,-3.3495759990687732,-0.3814192154664556,-1.3530372867103075,-1.6593458066435562,-1.6575059251123325,-1.0189610968943466,-1.2484623302722149,1,1.0
07/14/2020 17:20:00,-1.5938791068819511,0.0,-0.6071843602573712,-1.36377129749419,0.2430937728263942,-1.5638772033554151,-3.348350832878851,-0.3814192154664556,-1.3530372867103075,-1.6560305597900542,-1.653703845212617,-1.0572772414646197,-1.2705202450173938,1,1.0
07/14/2020 17:30:00,-1.602610969038066,0.0,-0.6071843602573712,-1.346760384500391,-0.6288360410802881,-1.5638772033554151,-3.4524408432283353,-0.3814192154664556,-1.3530372867103075,-1.6853983713252982,-1.682219035102652,-1.0189610968943466,-1.2533605926812035,1,1.0
07/14/2020 17:40:00,-1.585940657032692,0.0,-0.6071843602573712,-1.3406848087203354,0.10336194438588699,-1.5638772033554151,-3.3544744167006364,-0.3814192154664556,-1.3439966295966543,-1.6569779302938699,-1.6546538045453048,-1.0189610968943466,-1.2472376771279006,1,1.0
07/14/2020 17:50:00,-1.585940657032692,0.0,-0.6222843895736139,-1.346760384500391,-0.2693139032994556,-1.5638772033554151,-3.4340720178725443,-0.3814192154664556,-1.3439966295966543,-1.6636089561716996,-1.659406448915364,-1.038119241461821,-1.2533605926812035,1,1.0
07/14/2020 18:00:00,-1.5772087821880698,0.0,-0.6071843602573712,-1.3273190081311177,0.028150175835776486,-1.5471351745108082,-3.3654951340812427,-0.3814192154664556,-1.3439966295966543,-1.6470300255720058,-1.6441985920688311,-0.999802952326872,-1.2337784153828855,1,1.0
07/14/2020 18:10:00,-1.6113424505389893,0.0,-0.6222843895736139,-1.36377129749419,-0.6979531718101255,-1.5471351745108082,-3.430398124394082,-0.3814192154664556,-1.3259129751203749,-1.684451532992308,-1.684120626795668,-1.0189610968943466,-1.2705202450173938,1,1.0
